subject,attn,block,object,occluder,rep,x,y
F122,on,18,hare,lower,3,784.799987792969,633.099975585938
F122,on,18,hare,lower,4,794.400024414062,649.299987792969
F122,on,18,hare,lower,5,791.599975585938,637.099975585938
F122,on,18,hare,lower,6,793.799987792969,641.400024414062
F122,on,18,hare,lower,7,791.099975585938,647.5
F122,on,18,hare,lower,8,794.900024414062,648.5
F122,on,19,elephant,lower,1,773.099975585938,639.400024414062
F122,on,19,elephant,lower,2,781.400024414062,644.700012207031
F122,on,19,elephant,lower,3,776.299987792969,648.099975585938
F122,on,19,elephant,lower,4,777.400024414062,647.200012207031
F122,on,19,elephant,lower,5,776.799987792969,644.700012207031
F122,on,19,elephant,lower,6,786.900024414062,633.900024414062
F122,on,19,elephant,lower,7,788.099975585938,646.200012207031
F122,on,19,elephant,lower,8,790.599975585938,640.799987792969
F122,on,20,bear,upper,1,775.700012207031,647.200012207031
F122,on,20,bear,upper,2,778.400024414062,656.400024414062
F122,on,20,bear,upper,3,787.400024414062,646.200012207031
F122,on,20,bear,upper,4,649.099975585938,624.5
F122,on,20,bear,upper,5,775.5,642.5
F122,on,20,bear,upper,6,779.400024414062,638.900024414062
F122,on,20,bear,upper,7,783.900024414062,647.599975585938
F122,on,20,bear,upper,8,781.400024414062,640.400024414062
F122,on,21,elephant,complete,1,779.299987792969,629
F122,on,21,elephant,complete,2,788.099975585938,623.900024414062
F122,on,21,elephant,complete,3,785.799987792969,620.900024414062
F122,on,21,elephant,complete,4,782.5,632.299987792969
F122,on,21,elephant,complete,5,NaN,NaN
F122,on,21,elephant,complete,6,792.5,631.900024414062
F122,on,21,elephant,complete,7,787.900024414062,628.700012207031
F122,on,21,elephant,complete,8,NaN,NaN
F122,on,22,jeep,upper,1,762.599975585938,629.299987792969
F122,on,22,jeep,upper,2,770.700012207031,633.700012207031
F122,on,22,jeep,upper,3,NaN,NaN
F122,on,22,jeep,upper,4,793.799987792969,629.400024414062
F122,on,22,jeep,upper,5,781.099975585938,626.799987792969
F122,on,22,jeep,upper,6,783.299987792969,638.599975585938
F122,on,22,jeep,upper,7,783.900024414062,631.700012207031
F122,on,22,jeep,upper,8,782.5,636.400024414062
F122,on,23,sportsCar,upper,1,761.599975585938,637.200012207031
F122,on,23,sportsCar,upper,2,761,635.799987792969
F122,on,23,sportsCar,upper,3,766.200012207031,630.5
F122,on,23,sportsCar,upper,4,766.700012207031,633.799987792969
F122,on,23,sportsCar,upper,5,769.700012207031,635.299987792969
F122,on,23,sportsCar,upper,6,763.900024414062,643
F122,on,23,sportsCar,upper,7,775.400024414062,635.099975585938
F122,on,23,sportsCar,upper,8,771.900024414062,636.799987792969
F122,on,24,bear,complete,1,760.5,636.599975585938
F122,on,24,bear,complete,2,759.900024414062,643.700012207031
F122,on,24,bear,complete,3,766.5,640.299987792969
F122,on,24,bear,complete,4,764.700012207031,641.400024414062
F122,on,24,bear,complete,5,760.599975585938,639.900024414062
F122,on,24,bear,complete,6,761.599975585938,633.900024414062
F122,on,24,bear,complete,7,769.200012207031,639
F122,on,24,bear,complete,8,768.400024414062,640.099975585938
F127,off,1,elephant,lower,1,792.599975585938,583.900024414062
F127,off,1,elephant,lower,2,793.599975585938,574.700012207031
F127,off,1,elephant,lower,3,799,588.799987792969
F127,off,1,elephant,lower,4,805.400024414062,583.700012207031
F127,off,1,elephant,lower,5,814.299987792969,578.700012207031
F127,off,1,elephant,lower,6,809.5,585.5
F127,off,1,elephant,lower,7,811,592.099975585938
F127,off,1,elephant,lower,8,812.200012207031,584.200012207031
F127,off,2,jeep,complete,1,788.200012207031,575.099975585938
F127,off,2,jeep,complete,2,798.700012207031,594.400024414062
F127,off,2,jeep,complete,3,806.299987792969,603.400024414062
F127,off,2,jeep,complete,4,807.799987792969,601.299987792969
F127,off,2,jeep,complete,5,808.900024414062,604.400024414062
F127,off,2,jeep,complete,6,817,609
F127,off,2,jeep,complete,7,821.900024414062,616.599975585938
F127,off,2,jeep,complete,8,817.099975585938,606.799987792969
F127,off,3,bear,lower,1,731.299987792969,604.900024414062
F127,off,3,bear,lower,2,736.700012207031,600.299987792969
F127,off,3,bear,lower,3,745.599975585938,625.5
F127,off,3,bear,lower,4,745.700012207031,632
F127,off,3,bear,lower,5,743,645.799987792969
F127,off,3,bear,lower,6,744,652.400024414062
F127,off,3,bear,lower,7,748.700012207031,641.599975585938
F127,off,3,bear,lower,8,757,636.200012207031
F127,off,4,sportsCar,lower,1,765.200012207031,593.799987792969
F127,off,4,sportsCar,lower,2,768.299987792969,621.400024414062
F127,off,4,sportsCar,lower,3,771.299987792969,619.099975585938
F127,off,4,sportsCar,lower,4,773.200012207031,614
F127,off,4,sportsCar,lower,5,774.200012207031,613.299987792969
F127,off,4,sportsCar,lower,6,780.900024414062,611.200012207031
F127,off,4,sportsCar,lower,7,783.5,609.799987792969
F127,off,4,sportsCar,lower,8,787.700012207031,614.099975585938
F127,off,5,elephant,complete,1,768.299987792969,630.5
F127,off,5,elephant,complete,2,774.099975585938,626.700012207031
F127,off,5,elephant,complete,3,774.799987792969,635.400024414062
F127,off,5,elephant,complete,4,776.400024414062,634.700012207031
F127,off,5,elephant,complete,5,778.200012207031,636.5
F127,off,5,elephant,complete,6,781.299987792969,631.799987792969
F127,off,5,elephant,complete,7,785.099975585938,636.700012207031
F127,off,5,elephant,complete,8,782.599975585938,627.099975585938
F127,off,6,bison,upper,1,780.799987792969,589.799987792969
F127,off,6,bison,upper,2,778.299987792969,587
F127,off,6,bison,upper,3,789.099975585938,597.700012207031
F127,off,6,bison,upper,4,790.599975585938,589.099975585938
F127,off,6,bison,upper,5,797.200012207031,593.5
F127,off,6,bison,upper,6,795,592.599975585938
F127,off,6,bison,upper,7,793.700012207031,599.799987792969
F127,off,6,bison,upper,8,789.700012207031,605.599975585938
F127,off,7,bear,complete,1,778.099975585938,575.400024414062
F127,off,7,bear,complete,2,785.299987792969,590.200012207031
F127,off,7,bear,complete,3,777.599975585938,595.900024414062
F127,off,7,bear,complete,4,779.799987792969,598.400024414062
F127,off,7,bear,complete,5,783.5,595.400024414062
F127,off,7,bear,complete,6,788.200012207031,617
F127,off,7,bear,complete,7,792.099975585938,629.599975585938
F127,off,7,bear,complete,8,795.900024414062,626.799987792969
F127,off,8,bison,lower,1,775.299987792969,588.5
F127,off,8,bison,lower,2,785,596.900024414062
F127,off,8,bison,lower,3,784.900024414062,599.200012207031
F127,off,8,bison,lower,4,784.900024414062,611.400024414062
F127,off,8,bison,lower,5,783.099975585938,605.5
F127,off,8,bison,lower,6,782.400024414062,601.700012207031
F127,off,8,bison,lower,7,779.799987792969,596.5
F127,off,8,bison,lower,8,771.5,590.099975585938
F127,off,9,teapot,lower,1,767.700012207031,579.5
F127,off,9,teapot,lower,2,768,585.900024414062
F127,off,9,teapot,lower,3,771.5,598.5
F127,off,9,teapot,lower,4,782.599975585938,599.799987792969
F127,off,9,teapot,lower,5,789.400024414062,608.5
F127,off,9,teapot,lower,6,788.599975585938,607.799987792969
F127,off,9,teapot,lower,7,783.700012207031,597.5
F127,off,9,teapot,lower,8,782.099975585938,592.599975585938
F127,off,10,jeep,lower,1,778.599975585938,551.799987792969
F127,off,10,jeep,lower,2,786.299987792969,553.900024414062
F127,off,10,jeep,lower,3,779.799987792969,566.400024414062
F127,off,10,jeep,lower,4,788.900024414062,573.700012207031
F127,off,10,jeep,lower,5,784,577.700012207031
F127,off,10,jeep,lower,6,775.599975585938,584.900024414062
F127,off,10,jeep,lower,7,786,586.400024414062
F127,off,10,jeep,lower,8,785.5,585.599975585938
F127,off,11,lamp,lower,1,779,602.200012207031
F127,off,11,lamp,lower,2,779.400024414062,592.700012207031
F127,off,11,lamp,lower,3,776.5,595
F127,off,11,lamp,lower,4,784.400024414062,603
F127,off,11,lamp,lower,5,782.599975585938,602.599975585938
F127,off,11,lamp,lower,6,775.599975585938,591.599975585938
F127,off,11,lamp,lower,7,778.900024414062,600.5
F127,off,11,lamp,lower,8,772.5,599.599975585938
F127,off,12,jeep,upper,1,770.799987792969,625.200012207031
F127,off,12,jeep,upper,2,759.099975585938,620.299987792969
F127,off,12,jeep,upper,3,759.5,617.400024414062
F127,off,12,jeep,upper,4,762.900024414062,627.5
F127,off,12,jeep,upper,5,765,626.900024414062
F127,off,12,jeep,upper,6,762.900024414062,626.5
F127,off,12,jeep,upper,7,763.900024414062,626.200012207031
F127,off,12,jeep,upper,8,770.099975585938,621.200012207031
F127,off,13,hare,complete,1,770.299987792969,576.599975585938
F127,off,13,hare,complete,2,761.299987792969,589
F127,off,13,hare,complete,3,763.400024414062,611
F127,off,13,hare,complete,4,775.200012207031,616.799987792969
F127,off,13,hare,complete,5,778.799987792969,623.299987792969
F127,off,13,hare,complete,6,786.400024414062,620.599975585938
F127,off,13,hare,complete,7,789.400024414062,630.200012207031
F127,off,13,hare,complete,8,792.599975585938,627.599975585938
F127,off,14,lamp,upper,1,735.299987792969,607
F127,off,14,lamp,upper,2,732.400024414062,616.900024414062
